hn_id,owner,repo,time_utc,post_time_utc,delta_24h,delta_48h,delta_168h,baseline_stars,launch_day_stars,hn_score,hn_comments,is_show_hn,post_hour_utc,post_weekday,is_weekend_post,title_len,has_numbers,has_exclamation,title_has_release,title_has_paper,owner_type,repo_age_days,readme_len,license_spdx,has_releases,stars_now,forks,open_issues,watchers,topics_has_llm,topics_has_rag,topics_has_transformers,topics_has_llama,topics_has_agent,topics_has_vector,topics_has_diffusion,ai_topic_any
45057322,elixir-lang,expert,2025-08-28T21:36:36+00:00,2025-08-28 21:36:36+00:00,307.0,307.0,307.0,127.0,307.0,83,12,False,21,3,0,65,0,0,1,0,Organization,344.0,1980.0,Apache-2.0,True,420.0,7.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45052950,mcpcat,mcpcat-typescript-sdk,2025-08-28T14:54:07+00:00,2025-08-28 14:54:07+00:00,20.0,20.0,20.0,26.0,20.0,13,3,True,14,3,0,70,0,0,1,0,Organization,90.0,6234.0,MIT,False,46.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
45052200,mi12labs,swiftai,2025-08-28T13:51:51+00:00,2025-08-28 13:51:51+00:00,88.0,88.0,88.0,8.0,88.0,60,13,True,13,3,0,80,0,0,0,0,Organization,14.0,9120.0,MIT,True,95.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45051542,b0nes164,gpuprefixsums,2025-08-28T12:49:10+00:00,2025-08-28 12:49:10+00:00,61.0,61.0,61.0,161.0,61.0,77,17,False,12,3,0,45,0,0,0,0,User,899.0,9469.0,NOASSERTION,False,221.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45051219,forter,trusted-agentic-commerce-protocol,2025-08-28T12:14:15+00:00,2025-08-28 12:14:15+00:00,13.0,13.0,13.0,112.0,13.0,17,1,False,12,3,0,37,0,0,0,0,Organization,6.0,5983.0,MIT,False,125.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45047572,soulim,bookmarks.txt,2025-08-28T02:12:23+00:00,2025-08-28 02:12:23+00:00,147.0,147.0,147.0,4.0,147.0,171,146,False,2,3,0,62,0,0,0,0,User,578.0,2128.0,MIT,False,151.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45046547,anthropics,claude-code,2025-08-27T23:28:35+00:00,2025-08-27 23:28:35+00:00,147.0,178.0,178.0,31671.0,147.0,13,3,False,23,2,0,75,0,1,0,0,Organization,186.0,2413.0,,False,31848.0,1901.0,2871.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45045116,polaroi8d,cactoide,2025-08-27T20:53:51+00:00,2025-08-27 20:53:51+00:00,148.0,152.0,152.0,0.0,148.0,105,59,True,20,2,0,61,0,0,1,0,User,0.0,2181.0,MIT,True,152.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45041315,renzorlive,vimmaster,2025-08-27T15:50:54+00:00,2025-08-27 15:50:54+00:00,789.0,872.0,872.0,0.0,789.0,357,115,False,15,2,0,10,0,0,1,0,User,0.0,5743.0,MIT,False,869.0,36.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45040875,razetime,efficient-array-programming,2025-08-27T15:16:18+00:00,2025-08-27 15:16:18+00:00,53.0,57.0,57.0,10.0,53.0,92,14,False,15,2,0,27,0,0,0,0,User,1535.0,1132.0,,False,67.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45039978,napthaai,openstackbench,2025-08-27T14:09:48+00:00,2025-08-27 14:09:48+00:00,7.0,8.0,8.0,7.0,7.0,10,6,False,14,2,0,29,0,0,0,0,Organization,6.0,15132.0,,False,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45037365,orgs,community,2025-08-27T09:43:43+00:00,2025-08-27 09:43:43+00:00,,,,,,435,339,False,9,2,0,36,0,0,0,0,,,,,,,,,,,,,,,,,1
45034957,jakeroggenbuck,regolith,2025-08-27T02:54:07+00:00,2025-08-27 02:54:07+00:00,26.0,28.0,28.0,33.0,26.0,27,25,True,2,2,0,72,0,0,1,0,User,71.0,20438.0,MIT,True,61.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45034496,nrwl,nx,2025-08-27T01:38:48+00:00,2025-08-27 01:38:48+00:00,19.0,48.0,49.0,26776.0,19.0,432,425,False,1,2,0,67,0,0,1,0,Organization,2937.0,9227.0,MIT,True,26825.0,2583.0,688.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45025678,sideko-inc,sideko,2025-08-26T12:36:20+00:00,2025-08-26 12:36:20+00:00,15.0,20.0,21.0,61.0,15.0,26,5,True,12,1,0,74,0,0,0,0,Organization,692.0,2141.0,NOASSERTION,True,82.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45024338,microsoft,vibevoice,2025-08-26T09:46:04+00:00,2025-08-26 09:46:04+00:00,1139.0,3850.0,4394.0,981.0,1139.0,14,2,False,9,1,0,75,1,0,1,0,Organization,0.0,10526.0,MIT,False,5354.0,430.0,24.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45022931,pandax381,xv6-riscv-net,2025-08-26T06:24:30+00:00,2025-08-26 06:24:30+00:00,59.0,65.0,66.0,11.0,59.0,144,12,True,6,1,0,72,1,0,1,0,User,39.0,3110.0,NOASSERTION,False,77.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45021282,techarohq,anubis,2025-08-26T01:35:34+00:00,2025-08-26 01:35:34+00:00,36.0,79.0,117.0,12178.0,36.0,11,0,False,1,1,0,36,0,0,0,0,Organization,161.0,4755.0,MIT,True,12292.0,340.0,194.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45020457,maliosdark,wifi-3d-fusion,2025-08-25T23:26:42+00:00,2025-08-25 23:26:42+00:00,291.0,369.0,379.0,2.0,291.0,121,31,False,23,0,0,55,1,0,0,0,User,6.0,34478.0,NOASSERTION,True,380.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45019671,b1n4r1b01,n-days,2025-08-25T22:05:34+00:00,2025-08-25 22:05:34+00:00,40.0,68.0,73.0,329.0,40.0,228,56,False,22,0,0,26,1,0,0,0,User,1520.0,2709.0,,False,402.0,62.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45018113,control-theory,gonzo,2025-08-25T19:44:01+00:00,2025-08-25 19:44:01+00:00,132.0,262.0,410.0,47.0,132.0,72,15,True,19,0,0,77,0,0,0,0,Organization,7.0,19745.0,MIT,True,457.0,9.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45018081,zserge,fenster,2025-08-25T19:41:51+00:00,2025-08-25 19:41:51+00:00,211.0,237.0,256.0,1059.0,211.0,154,52,False,19,0,0,48,0,0,0,0,User,955.0,3381.0,MIT,False,1315.0,70.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45017314,pipecat-ai,whisker,2025-08-25T18:37:15+00:00,2025-08-25 18:37:15+00:00,31.0,35.0,38.0,8.0,31.0,11,3,True,18,0,0,71,0,0,1,0,Organization,10.0,2281.0,BSD-2-Clause,True,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45015758,secretml,secretmemorylocker,2025-08-25T16:39:42+00:00,2025-08-25 16:39:42+00:00,1.0,9.0,12.0,0.0,1.0,14,3,True,16,0,0,70,0,0,0,0,User,47.0,12120.0,MIT,True,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45015281,vectifyai,pageindex,2025-08-25T16:00:38+00:00,2025-08-25 16:00:38+00:00,16.0,40.0,102.0,1195.0,16.0,11,0,True,16,0,0,36,0,0,1,0,Organization,146.0,8733.0,MIT,False,1296.0,118.0,14.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
45014911,antirez,sds,2025-08-25T15:27:59+00:00,2025-08-25 15:27:59+00:00,4.0,6.0,70.0,5182.0,4.0,111,43,False,15,0,0,41,0,0,0,0,User,4218.0,32055.0,BSD-2-Clause,False,5252.0,493.0,106.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45013572,bkdevs,async-server,2025-08-25T13:21:19+00:00,2025-08-25 13:21:19+00:00,29.0,232.0,311.0,3.0,29.0,105,43,True,13,0,0,78,0,0,0,0,Organization,2.0,7203.0,MIT,False,314.0,19.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45012548,endesga,pep,2025-08-25T11:05:38+00:00,2025-08-25 11:05:38+00:00,142.0,185.0,203.0,110.0,142.0,53,11,False,11,0,0,38,0,0,0,0,User,0.0,6276.0,CC0-1.0,False,313.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45012430,bravenewxyz,agent-c,2025-08-25T10:43:50+00:00,2025-08-25 10:43:50+00:00,232.0,258.0,314.0,1.0,232.0,108,84,False,10,0,0,23,1,0,0,0,Organization,0.0,994.0,,False,314.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
45011004,pablo-chacon,spoon-bending,2025-08-25T06:48:34+00:00,2025-08-25 06:48:34+00:00,1.0,14.0,19.0,0.0,1.0,21,3,True,6,0,0,75,1,0,1,0,User,1.0,6224.0,NOASSERTION,False,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45010524,ibm,mcp-context-forge,2025-08-25T05:30:00+00:00,2025-08-25 05:30:00+00:00,259.0,456.0,703.0,1433.0,259.0,73,53,False,5,0,0,24,0,0,0,0,Organization,108.0,104122.0,Apache-2.0,True,2135.0,243.0,161.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
45010461,jkool702,timep,2025-08-25T05:17:44+00:00,2025-08-25 05:17:44+00:00,34.0,49.0,53.0,115.0,34.0,53,11,True,5,0,0,75,0,0,0,0,User,46.0,18767.0,MIT,False,168.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45009486,dt7qr,bitcoin-rewards-system-proposal,2025-08-25T01:52:34+00:00,2025-08-25 01:52:34+00:00,3.0,3.0,3.0,0.0,3.0,11,2,True,1,0,0,54,0,0,1,0,User,0.0,9161.0,,False,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45008406,vuiodev,vuio,2025-08-24T22:31:22+00:00,2025-08-24 22:31:22+00:00,39.0,45.0,48.0,37.0,39.0,25,1,False,22,6,1,64,0,0,1,0,Organization,12.0,24986.0,Apache-2.0,True,85.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45008308,cross-tools,musl-cross,2025-08-24T22:20:07+00:00,2025-08-24 22:20:07+00:00,31.0,34.0,34.0,60.0,31.0,34,17,False,22,6,1,34,1,0,0,0,Organization,525.0,2624.0,MIT,True,94.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45007797,davidbuchanan314,anubis_offload,2025-08-24T21:08:26+00:00,2025-08-24 21:08:26+00:00,51.0,66.0,79.0,13.0,51.0,11,2,False,21,6,1,74,0,0,1,0,User,0.0,5027.0,MIT,False,92.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45007525,schlae,cm5-reveng,2025-08-24T20:34:49+00:00,2025-08-24 20:34:49+00:00,45.0,92.0,175.0,3.0,45.0,88,23,False,20,6,1,48,1,0,1,0,User,0.0,9436.0,,False,177.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45006686,adamhl8,filterql,2025-08-24T18:55:01+00:00,2025-08-24 18:55:01+00:00,5.0,8.0,183.0,14.0,5.0,76,21,True,18,6,1,71,0,0,0,0,User,10.0,18167.0,MIT,True,196.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45005434,repomirrorhq,repomirror,2025-08-24T16:18:53+00:00,2025-08-24 16:18:53+00:00,101.0,166.0,199.0,6.0,101.0,417,303,False,16,6,1,37,0,0,0,0,Organization,1.0,1092.0,,False,204.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45003420,roryclear,clearcam,2025-08-24T11:34:15+00:00,2025-08-24 11:34:15+00:00,285.0,331.0,354.0,12.0,285.0,230,66,True,11,6,1,67,0,0,1,0,User,231.0,2534.0,AGPL-3.0,True,366.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45003358,unkn0wn-root,cascache,2025-08-24T11:24:40+00:00,2025-08-24 11:24:40+00:00,9.0,27.0,43.0,0.0,9.0,20,2,True,11,6,1,80,0,0,0,0,User,1.0,14403.0,NOASSERTION,True,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45001979,phantomics,seed,2025-08-24T06:57:19+00:00,2025-08-24 06:57:19+00:00,40.0,45.0,52.0,78.0,40.0,120,21,False,6,6,1,59,0,0,1,0,User,2873.0,6167.0,GPL-3.0,False,130.0,6.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45001466,nimeshnayaju,decode-kit,2025-08-24T04:43:34+00:00,2025-08-24 04:43:34+00:00,2.0,60.0,142.0,1.0,2.0,30,35,False,4,6,1,76,0,0,1,0,User,2.0,8128.0,MIT,False,143.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45001371,martianlantern,thinkmesh,2025-08-24T04:23:33+00:00,2025-08-24 04:23:33+00:00,121.0,147.0,217.0,0.0,121.0,72,4,False,4,6,1,53,0,0,0,0,User,0.0,5865.0,MIT,False,217.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45000982,kagehq,port-kill,2025-08-24T03:08:15+00:00,2025-08-24 03:08:15+00:00,228.0,292.0,345.0,4.0,228.0,125,47,True,3,6,1,76,0,0,1,0,Organization,0.0,7220.0,NOASSERTION,False,349.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45000400,hkuds,deepcode,2025-08-24T01:09:06+00:00,2025-08-24 01:09:06+00:00,621.0,1634.0,2629.0,1783.0,621.0,13,3,False,1,6,1,29,0,0,0,0,Organization,101.0,35113.0,MIT,True,4410.0,450.0,14.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44998316,nrposner,fizzcrate,2025-08-23T19:10:32+00:00,2025-08-23 19:10:32+00:00,9.0,16.0,16.0,0.0,9.0,30,16,False,19,5,1,27,0,0,0,0,User,0.0,16585.0,,False,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44995189,underpig1,octos,2025-08-23T11:29:17+00:00,2025-08-23 11:29:17+00:00,10.0,13.0,34.0,550.0,10.0,11,2,True,11,5,1,75,0,0,1,1,User,889.0,4070.0,MIT,True,584.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44995147,lunarengine,lunar-test,2025-08-23T11:22:15+00:00,2025-08-23 11:22:15+00:00,316.0,382.0,441.0,7.0,316.0,279,98,False,11,5,1,58,0,0,0,0,User,0.0,6972.0,MIT,True,448.0,25.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44994535,explosion,spacy,2025-08-23T09:07:38+00:00,2025-08-23 09:07:38+00:00,6.0,13.0,154.0,32209.0,6.0,132,62,False,9,5,1,70,0,0,0,0,Organization,4068.0,23776.0,MIT,True,32361.0,4572.0,201.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44994071,3b1b,manim,2025-08-23T07:35:49+00:00,2025-08-23 07:35:49+00:00,0.0,0.0,0.0,40000.0,0.0,427,68,False,7,5,1,51,0,0,1,0,User,3806.0,6598.0,MIT,True,80212.0,6858.0,465.0,929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44993874,hkuds,deepcode,2025-08-23T06:53:22+00:00,2025-08-23 06:53:22+00:00,449.0,1148.0,2962.0,1450.0,449.0,18,2,False,6,5,1,29,0,0,0,0,Organization,101.0,35113.0,MIT,True,4410.0,450.0,14.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44993761,rijinraju,octanedb,2025-08-23T06:31:00+00:00,2025-08-23 06:31:00+00:00,50.0,57.0,63.0,1.0,50.0,33,12,True,6,5,1,64,0,0,1,0,User,2.0,11324.0,MIT,False,64.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44993297,ayushmi,agentstate,2025-08-23T04:57:44+00:00,2025-08-23 04:57:44+00:00,24.0,37.0,46.0,1.0,24.0,15,0,True,4,5,1,76,0,0,0,0,User,1.0,13893.0,Apache-2.0,True,47.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44990680,mbuhot,glyn,2025-08-22T22:29:28+00:00,2025-08-22 22:29:28+00:00,63.0,72.0,73.0,5.0,63.0,75,11,False,22,4,0,80,0,0,0,0,User,13.0,8185.0,MIT,False,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44988529,mozilla-ai,any-llm,2025-08-22T19:06:22+00:00,2025-08-22 19:06:22+00:00,8.0,11.0,23.0,923.0,8.0,10,0,True,19,4,0,80,0,0,0,0,Organization,39.0,6569.0,Apache-2.0,True,946.0,67.0,45.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44988271,evidlo,xsl-website,2025-08-22T18:47:30+00:00,2025-08-22 18:47:30+00:00,62.0,74.0,78.0,11.0,62.0,210,114,True,18,4,0,41,0,0,1,0,User,1661.0,629.0,,False,89.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44987552,whatwg,html,2025-08-22T17:56:12+00:00,2025-08-22 17:56:12+00:00,11.0,16.0,32.0,8711.0,11.0,133,107,False,17,4,0,39,1,0,0,0,Organization,4397.0,879.0,NOASSERTION,False,8743.0,2968.0,2280.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44987346,whatwg,html,2025-08-22T17:38:57+00:00,2025-08-22 17:38:57+00:00,11.0,16.0,32.0,8711.0,11.0,157,142,False,17,4,0,64,0,0,1,0,Organization,4397.0,879.0,NOASSERTION,False,8743.0,2968.0,2280.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44987221,browseros-ai,browseros,2025-08-22T17:27:00+00:00,2025-08-22 17:27:00+00:00,28.0,41.0,101.0,3857.0,28.0,12,2,True,17,4,0,61,0,0,0,0,Organization,96.0,5461.0,AGPL-3.0,True,3958.0,292.0,31.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44986914,whit3rabbit,bubbletea-rs,2025-08-22T17:00:35+00:00,2025-08-22 17:00:35+00:00,80.0,106.0,168.0,5.0,80.0,18,3,False,17,4,0,48,0,0,0,0,User,19.0,6073.0,MIT,True,173.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44986205,murat-cileli,clyp,2025-08-22T16:03:26+00:00,2025-08-22 16:03:26+00:00,137.0,186.0,234.0,6.0,137.0,79,48,True,16,4,0,43,0,0,0,0,User,7.0,4291.0,GPL-3.0,True,240.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44985058,lacquerai,lacquer,2025-08-22T14:22:45+00:00,2025-08-22 14:22:45+00:00,2.0,3.0,8.0,10.0,2.0,11,1,True,14,4,0,72,0,0,0,0,Organization,66.0,11105.0,Apache-2.0,True,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44984675,imzackadams,aimless,2025-08-22T13:49:06+00:00,2025-08-22 13:49:06+00:00,0.0,2.0,7.0,1.0,0.0,13,5,True,13,4,0,74,1,0,0,0,User,1.0,5883.0,,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44983835,open-energy-transition,awesome-electrical-grid-mapping,2025-08-22T12:38:47+00:00,2025-08-22 12:38:47+00:00,8.0,9.0,10.0,66.0,8.0,10,0,False,12,4,0,23,0,0,0,0,Organization,231.0,49678.0,CC0-1.0,False,76.0,5.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44982748,henrygabriels,fmllm,2025-08-22T10:14:59+00:00,2025-08-22 10:14:59+00:00,9.0,10.0,10.0,2.0,9.0,37,27,False,10,4,0,80,1,0,0,0,User,9.0,8080.0,,False,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44981989,mehrantsi,feoxdb,2025-08-22T07:57:57+00:00,2025-08-22 07:57:57+00:00,42.0,70.0,118.0,1.0,42.0,37,8,True,7,4,0,46,0,0,1,0,User,2.0,16204.0,Apache-2.0,True,119.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44980042,osyamato,os-yamato,2025-08-22T01:06:56+00:00,2025-08-22 01:06:56+00:00,0.0,0.0,13.0,12.0,0.0,25,35,False,1,4,0,34,0,0,0,0,User,119.0,4185.0,NOASSERTION,False,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
